long_name;short_name;author;organization
"""Карта России. Вехи истории"". выставка (2018; Владивосток).   Карта России. Вехи истории = Map of Russia. Milestones in History : [каталог] / ред. В.А. Таубер. - М. : Федеральное государственное бюджетное учреждение культуры ""Государственный историко-культурный музей-заповедник Московский Кремль"", 2018. - 83 c. : ил. ; 28 см. - Приморский государственный объединенный музей им. В.К. Арсеньева (Владивосток): 11.09.-11.12.2018.";Карта России. Вехи истории;;Приморский государственный объединенный музей им. В.К. Арсеньева (Владивосток): 11.09.-11.12.2018
"   Карло Кривелли / авт. текста Е.Г. Милюгина. - М. : Белый город : Воскресный день, 2018. - 228 с. : ил. ; 30 см. - ISBN 978-5-7793-4204-9.";Карло Кривелли;;
"""Карл Брюллов. Портреты из частного собрания Санкт-Петербурга"". выставка (2018; Москва).   Карл Брюллов. Избранное : Портреты из частного собрания Санкт-Петербурга : [кат. выст.] / курат. Л.А. Маркина. - М. : Арт Волхонка, 2018. - 136 с. : ил. ; 27 c. - Библиогр.: с. 133-134. - Гос. Третьяковская галерея (Москва): 24 янв. -  24 июня 2018. - ISBN 978-5-906848-54-3.";Карл Брюллов. Избранное;;Гос. Третьяковская галерея (Москва): 24 янв. -  24 июня 2018
"Идема, Йохан.   Как ходить в музей : Советы о том, как сделать посещение по-настоящему запоминающимся / Йохан Идема. - М. : Ад Маргинем Пресс, 2018. - 128 с. : ил. ; 19 см. - ISBN 978-5-91103-425-2.";Как ходить в музей;Идема Й.;
"Канфора, Лучано.   Исчезнувшая библиотека = La biblioteca scomparsa : пер. с ит. А. Миролюбовой / Л. Канфора. - СПб. : Alexandria, 2018. - 222 с. ; 19 см. - Библиогр. в подстр. примеч. - ISBN 978-5-903445-55-4.";Исчезнувшая библиотека;Канфора Л.;
"Райт, Фрэнк Ллойд.   Исчезающий город / Ф.Л. Райт. - М. : Strelka Press, 2018. - 180 c. : ил. ; 19 см. - ISBN 978-5- 906264-76-3.";Исчезающий город;Райт Ф.Л.;
"Плескачевская, Инесса Николаевна.   Исторические прогулки с Франциском Скориной / Инесса Плескачевская. - Минск : Издательский дом ""Звезда"", 2018. - 135 с. : ил. ; 30 см. - ISBN 978-985-575-157-2.";Исторические прогулки с Франциском Скориной;Плескачевская И.Н.;
"Тилкес, Ольга.   Истории страны Рембрандта / Ольга Тилкес. - М. : Новое литературное обозрение, 2018. - 1045 с. : ил. ; 25 см. - Библиогр.: с. 1019-1036. - ISBN 978-5-4448-0731-6.";Истории страны Рембрандта;Тилкес О.;
"Уорд, Оссиан.   Искусство смотреть  : как воспринимать современное искусство : пер. с англ. / О. Уорд. - М. : Ад Маргинем Пресс, 2018. - 176 с. : ил. ; 23 см. - Библиогр.: с. 170-171. - ISBN 978-5-91103-426-9.";Искусство смотреть ;Уорд О.;
"   Искусство скульптуры в XX-XXI веках : Мастера, тенденции, проблемы : коллективная монография / отв. ред. М.А. Бусев ; ред.  Г.И. Вздорнов. - М. : БуксМАрт, 2018. - 632 с. : ил. ; 30 см. - Библиогр. в постат. примеч. - ISBN 978-5-906190-78-9.";Искусство скульптуры в XX-XXI веках;;
"Бёрджер, Джон.   Искусство и революция : Эрнст Неизвестный и роль художника в СССР / Джон Бёрджер ; пер.: Наталия Кротовская. - М. : Ад Маргинем Пресс, 2018. - 111 с. : ил. ; 19 см. - ISBN 978-5-91103-420-7.";Искусство и революция;Бёрджер Дж.;
"   Искусство и будущее. Художественные предвидения : сб. статей /  ; отв. ред. С.И. Козлова. - М. : Первая Образцовая типография, 2018. - 496 с. : ил. ; 22 см. - Библиогр. в постат. примеч. - ISBN 978-5-7164-0814-2.";Искусство и будущее. Художественные предвидения;;
"   Искусство без границ : сборник статей : памяти Веры Ивановны Раздольской (1923-2015) / науч. ред. и сост. Т.А. Лопатина, Д.В. Любин. - СПб. : Чистый лист, 2018. - 287 с., [16] л. ил. : ил. ; 21 см . - Библиогр. в конце ст. - ISBN 978-5-90152--868-6.";Искусство без границ;;
"Гаврилова, Людмила Михайловна.   Иностранные ордена российских императоров : в собрании музеев Московского Кремля / Л.М. Гаврилова. - М. : Музеи Московского Кремля, 2018. - 414 с. : ил. ; 29 см. - Библиогр. в примеч. - ISBN 978-5-88678-321-6.";Иностранные ордена российских императоров;Гаврилова Л.М.;
"""Ильязд. XX век Ильи Зданевича"". конференция (2015; Москва).   Ильязд. XX век Ильи Зданевича : Материалы международной научной конференции по творческому наследию Ильи Зданевича : [сб.ст.] / сост. Б.М. Фридман. - М. : ГМИИ им. А.С. Пушкина, 2018. - 318, [1] с. : ил. ; 21 см. - ГМИИ им. А.С. Пушкина (Москва): 16-17 декабря 2015. - конференция связана с выставкой в ГМИИ им. А.С. Пушкина (Москва): 15 декабря 2015- 14 февраля 2016. - ISBN 978-5-6041623-7-8.";Ильязд. XX век Ильи Зданевича;;ГМИИ им. А.С. Пушкина (Москва): 16-17 декабря 2015
"   Илья Репин / науч. ред. Т.Ю. Юденкова ; авт.-сост. Н.В. Буянова, Е.А. Теркель. - М. : Б.и., 2018. - 23 с. : ил. ; 25 см . - (Семейный альбом художника). - Библиогр. в подстр. примеч. - ISBN 978-5-89580-233-5.";Илья Репин;;
"""Илья и Эмилия Кабаковы. В будущее возьмут не всех"". выставка (2017-2019; Лондон/Санкт-Петербург/Москва).   Илья и Эмилия Кабаковы : В будущее возьмут не всех : [кат. выст.] / куратор Д. Бингэм. - М. : [Государственная Третьяковская галерея], 2018. - 253 с. : ил. ; 27 см. - Библиогр.: с. 241-244. - Тейт Модерн (Лондон): 18 окт. 2017 - 28 янв. 2018. - Гос. Эрмитаж (С.-Петербург): 20 апр. - 29 июля 2018. - Гос. Третьяковская галерея (Москва): 6 сент. 2018 - 13 янв. 2019. - ISBN 978-5-89580-213-7.";Илья и Эмилия Кабаковы;;Тейт Модерн (Лондон): 18 окт. 2017 - 28 янв. 2018
